,Type,Price,Location,Baths,Area,Beds
0,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,3 Marla,1
1,Upper Portion,PKR55 Thousand,"Defence Road, Lahore, Punjab",3,1 Kanal,3
2,Lower Portion,PKR30 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,5 Marla,1
3,House,PKR1.1 Lakh,"Defence Road, Lahore, Punjab",6,10 Marla,6
4,House,PKR3.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5,House,PKR2.85 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
6,House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
7,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
8,House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
9,Upper Portion,PKR45 Thousand,"Allama Iqbal Town, Lahore, Punjab",3,10 Marla,3
10,Lower Portion,PKR32 Thousand,"Valencia Housing Society, Lahore, Punjab",3,5 Marla,2
11,Upper Portion,PKR55 Thousand,"Valencia Housing Society, Lahore, Punjab",3,10 Marla,3
12,Lower Portion,PKR25 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,1
13,Upper Portion,PKR45 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,3
14,Lower Portion,PKR3 Lakh,"Garden Town, Lahore, Punjab",5,2 Kanal,5
15,Lower Portion,PKR33 Thousand,"Bahria Town, Lahore, Punjab",1,5 Marla,1
16,Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
17,Lower Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
18,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
19,Lower Portion,PKR32 Thousand,"Bahria Town, Lahore, Punjab",1,5 Marla,1
20,Flat,PKR27 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
21,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
22,Flat,PKR38 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
23,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
